id_pdv,qtd_recomendacoes,recomendacoes,driver_principal,prioridade_risco
PDV011,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV012,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV013,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV014,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV015,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV016,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV017,1,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias.,fixo_alto,baixa
PDV018,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV019,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV020,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV021,1,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,ticket_baixo,baixa
PDV022,1,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,devolucoes_altas,baixa
PDV023,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV024,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV025,1,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,ticket_baixo,baixa
PDV026,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV027,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV028,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV029,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV030,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV031,2,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,ticket_baixo,media
PDV032,1,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias.,fixo_alto,baixa
PDV033,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV034,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV035,1,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias.,fixo_alto,baixa
PDV036,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV037,2,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,ticket_baixo,media
PDV038,1,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias.,fixo_alto,baixa
PDV039,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV040,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV041,2,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,ticket_baixo,media
PDV042,1,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,devolucoes_altas,baixa
PDV043,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV044,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV045,1,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias.,fixo_alto,baixa
PDV046,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV047,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV048,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV049,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV050,1,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,ticket_baixo,baixa
PDV051,2,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,ticket_baixo,media
PDV052,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV053,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV054,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV055,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV056,2,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa.,devolucoes_altas,media
PDV057,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV058,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV059,2,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento.,fixo_alto,media
PDV060,2,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,ticket_baixo,media
PDV061,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV062,1,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,ticket_baixo,baixa
PDV063,2,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa.,devolucoes_altas,media
PDV064,1,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,ticket_baixo,baixa
PDV065,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV066,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV067,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV068,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV069,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV070,2,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa.,devolucoes_altas,media
